Ticker,Date/Time,Open,High,Low,Close,Volume
^JKAGRI,3/7/2000,263.21,263.21,256.23,259.44,0
^JKAGRI,3/8/2000,259.44,301.21,253.58,297.74,0
^JKAGRI,3/9/2000,297.74,309.39,297.74,305.21,0
^JKAGRI,3/10/2000,305.21,311.02,305.21,309.76,0
^JKAGRI,3/13/2000,309.76,312.47,277.07,279.58,0
^JKAGRI,3/14/2000,279.58,288.17,277.31,283.44,0
^JKAGRI,3/15/2000,283.44,293.26,278.72,291.69,0
^JKAGRI,3/16/2000,291.69,291.69,291.69,291.69,0
^JKAGRI,3/17/2000,291.69,305.49,283.71,286.25,0
^JKAGRI,3/20/2000,286.25,286.36,280.88,285.54,0
^JKAGRI,3/21/2000,285.54,288.88,280.45,281.28,0
^JKAGRI,3/22/2000,281.28,302.70,281.28,302.70,0
^JKAGRI,3/23/2000,302.70,304.99,295.39,301.86,0
^JKAGRI,3/24/2000,301.86,310.18,287.02,288.33,0
^JKAGRI,3/27/2000,288.33,290.04,281.33,285.10,0
^JKAGRI,3/28/2000,285.10,290.10,281.28,287.89,0
^JKAGRI,3/29/2000,287.89,288.90,284.08,288.63,0
^JKAGRI,3/30/2000,288.63,290.37,279.84,280.13,0
^JKAGRI,3/31/2000,280.13,280.13,280.13,280.13,0
^JKAGRI,4/3/2000,280.13,280.13,272.35,275.99,0
^JKAGRI,4/4/2000,275.99,275.99,275.99,275.99,0
^JKAGRI,4/5/2000,275.99,275.99,262.42,266.95,0
^JKAGRI,4/6/2000,266.95,266.95,266.95,266.95,0
^JKAGRI,4/7/2000,266.95,282.45,266.95,280.06,0
^JKAGRI,4/10/2000,280.06,282.38,272.57,273.76,0
^JKAGRI,4/11/2000,273.76,273.76,269.05,273.12,0
^JKAGRI,4/12/2000,273.12,275.66,270.92,274.74,0
^JKAGRI,4/13/2000,274.74,276.18,273.54,276.18,0
^JKAGRI,4/14/2000,276.18,276.18,267.71,272.59,0
^JKAGRI,4/17/2000,272.59,272.59,254.71,255.19,0
^JKAGRI,4/18/2000,255.19,261.46,253.45,255.45,0
^JKAGRI,4/19/2000,255.45,259.13,250.31,251.65,0
^JKAGRI,4/20/2000,251.65,251.82,239.58,242.12,0
^JKAGRI,4/21/2000,242.12,242.12,242.12,242.12,0
^JKAGRI,4/24/2000,242.12,248.21,241.82,245.94,0
^JKAGRI,4/25/2000,245.94,250.30,235.24,235.55,0
^JKAGRI,4/26/2000,235.55,241.85,231.98,236.86,0
