Ticker,Date/Time,Open,High,Low,Close,Volume
^JKCONS,3/7/2000,145.02,146.31,141.32,145.11,0
^JKCONS,3/8/2000,145.11,146.87,140.04,145.97,0
^JKCONS,3/9/2000,145.97,152.65,145.97,150.35,0
^JKCONS,3/10/2000,150.35,156.67,150.35,156.48,0
^JKCONS,3/13/2000,156.48,157.36,152.44,152.83,0
^JKCONS,3/14/2000,152.83,153.76,149.47,151.97,0
^JKCONS,3/15/2000,151.97,152.03,149.17,151.75,0
^JKCONS,3/16/2000,151.75,151.75,151.75,151.75,0
^JKCONS,3/17/2000,151.75,155.75,151.75,154.91,0
^JKCONS,3/20/2000,154.91,155.09,151.92,153.30,0
^JKCONS,3/21/2000,153.30,153.42,150.22,151.70,0
^JKCONS,3/22/2000,151.70,154.61,151.70,154.61,0
^JKCONS,3/23/2000,154.61,157.49,153.78,154.69,0
^JKCONS,3/24/2000,154.69,155.63,151.62,152.81,0
^JKCONS,3/27/2000,152.81,153.65,151.73,152.99,0
^JKCONS,3/28/2000,152.99,154.06,152.57,154.06,0
^JKCONS,3/29/2000,154.06,155.74,151.69,153.49,0
^JKCONS,3/30/2000,153.49,153.89,149.98,150.43,0
^JKCONS,3/31/2000,150.43,150.43,150.43,150.43,0
^JKCONS,4/3/2000,150.43,150.43,144.18,145.64,0
^JKCONS,4/4/2000,145.64,145.64,145.64,145.64,0
^JKCONS,4/5/2000,145.64,145.64,139.83,141.56,0
^JKCONS,4/6/2000,141.56,141.56,141.56,141.56,0
^JKCONS,4/7/2000,141.56,142.82,141.56,142.82,0
^JKCONS,4/10/2000,142.82,143.24,141.38,141.59,0
^JKCONS,4/11/2000,141.59,143.70,139.43,143.70,0
^JKCONS,4/12/2000,143.70,143.80,139.02,140.04,0
^JKCONS,4/13/2000,140.04,142.13,140.04,141.20,0
^JKCONS,4/14/2000,141.20,141.71,137.66,139.01,0
^JKCONS,4/17/2000,139.01,139.01,130.17,131.56,0
^JKCONS,4/18/2000,131.56,134.68,130.68,131.52,0
^JKCONS,4/19/2000,131.52,132.63,129.43,130.34,0
^JKCONS,4/20/2000,130.34,131.03,128.38,130.90,0
^JKCONS,4/21/2000,130.90,130.90,130.90,130.90,0
^JKCONS,4/24/2000,130.90,133.54,130.90,133.45,0
^JKCONS,4/25/2000,133.45,134.02,130.89,131.65,0
^JKCONS,4/26/2000,131.65,133.87,129.53,132.72,0
^JKCONS,4/27/2000,132.72,133.79,132.21,133.77,0
^JKCONS,4/28/2000,133.77,136.63,133.00,136.10,0
^JKCONS,5/1/2000,136.10,136.17,134.83,135.90,0
^JKCONS,5/2/2000,135.90,138.65,135.90,138.12,0
^JKCONS,5/3/2000,138.12,143.72,137.56,141.00,0
^JKCONS,5/4/2000,141.00,144.11,140.44,142.34,0
^JKCONS,5/5/2000,142.34,144.17,142.34,144.16,0
^JKCONS,5/8/2000,144.16,150.43,144.16,149.01,0
^JKCONS,5/9/2000,149.01,149.01,149.01,149.01,0
^JKCONS,5/10/2000,148.49,149.04,147.68,148.32,0
^JKCONS,5/11/2000,148.32,148.32,141.03,141.11,0
^JKCONS,5/12/2000,141.11,142.71,138.13,140.53,0
^JKCONS,5/15/2000,140.53,140.53,136.66,138.40,0
^JKCONS,5/16/2000,138.40,138.40,133.17,133.85,0
^JKCONS,5/17/2000,133.85,138.14,133.85,137.72,0
^JKCONS,5/18/2000,137.72,137.72,137.72,137.72,0
^JKCONS,5/19/2000,137.72,138.56,136.05,137.57,0
^JKCONS,5/22/2000,137.57,137.57,134.52,134.87,0
^JKCONS,5/23/2000,134.87,135.94,133.98,134.51,0
^JKCONS,5/24/2000,134.51,134.51,133.03,134.15,0
^JKCONS,5/25/2000,134.15,135.92,133.40,133.93,0
^JKCONS,5/26/2000,133.93,133.93,130.60,131.99,0
^JKCONS,5/29/2000,131.99,131.99,127.08,127.38,0
^JKCONS,5/30/2000,127.38,127.38,127.38,127.38,0
^JKCONS,5/31/2000,127.96,129.70,122.69,122.89,0
^JKCONS,6/1/2000,122.89,122.89,122.89,122.89,0
^JKCONS,6/2/2000,122.89,125.17,120.48,121.51,0
^JKCONS,6/5/2000,121.51,125.49,121.51,124.61,0
^JKCONS,6/6/2000,124.61,124.71,121.87,124.31,0
^JKCONS,6/7/2000,124.31,127.47,121.92,126.58,0
^JKCONS,6/8/2000,126.58,130.40,126.54,128.82,0
^JKCONS,6/9/2000,128.82,132.76,127.85,131.03,0
^JKCONS,6/12/2000,131.03,132.90,130.39,130.98,0
^JKCONS,6/13/2000,130.98,131.15,129.67,130.60,0
^JKCONS,6/14/2000,130.60,132.43,129.71,132.43,0
^JKCONS,6/15/2000,132.43,132.43,132.43,132.43,0
^JKCONS,6/16/2000,132.43,134.49,132.43,134.32,0
^JKCONS,6/19/2000,134.32,136.33,133.90,135.28,0
^JKCONS,6/20/2000,135.28,135.68,133.77,134.60,0
^JKCONS,6/21/2000,134.60,136.78,134.36,136.78,0
^JKCONS,6/22/2000,136.78,138.45,135.85,137.21,0
^JKCONS,6/23/2000,137.21,138.62,136.34,138.62,0
^JKCONS,6/26/2000,138.62,142.94,138.45,141.32,0
^JKCONS,6/27/2000,141.32,143.49,139.68,141.02,0
^JKCONS,6/28/2000,141.02,141.79,139.88,141.45,0
^JKCONS,6/29/2000,141.45,143.89,141.45,143.57,0
^JKCONS,6/30/2000,143.57,144.75,142.09,144.49,0
^JKCONS,7/3/2000,144.49,144.70,138.56,142.07,0
^JKCONS,7/4/2000,142.07,144.97,139.59,144.89,0
^JKCONS,7/5/2000,144.89,148.97,143.60,148.08,0
^JKCONS,7/6/2000,148.08,150.11,147.90,149.09,0
^JKCONS,7/7/2000,149.09,149.18,144.28,146.24,0
^JKCONS,7/10/2000,146.24,146.76,144.38,146.30,0
^JKCONS,7/11/2000,146.30,148.89,146.30,148.76,0
^JKCONS,7/12/2000,148.76,148.93,145.89,146.91,0
^JKCONS,7/13/2000,146.91,147.16,144.96,145.82,0
^JKCONS,7/14/2000,145.82,145.82,144.00,145.45,0
^JKCONS,7/17/2000,145.45,146.06,144.88,145.69,0
^JKCONS,7/18/2000,145.69,146.89,144.98,146.80,0
