Ticker,Date/Time,Open,High,Low,Close,Volume
^JKINVESTOR33,3/24/2014,331.90,333.22,329.94,332.39,612609984
^JKINVESTOR33,3/25/2014,330.79,331.56,329.77,331.00,508040000
^JKINVESTOR33,3/26/2014,331.34,333.94,331.29,332.18,615440000
^JKINVESTOR33,3/27/2014,331.27,334.85,330.74,330.74,721539968
^JKINVESTOR33,3/28/2014,332.55,335.07,332.36,334.11,811900032
^JKINVESTOR33,4/1/2014,337.02,344.84,336.71,344.84,1290000000
^JKINVESTOR33,4/2/2014,345.23,347.06,343.43,344.73,867649984
^JKINVESTOR33,4/3/2014,345.52,347.16,344.95,347.11,701929984
^JKINVESTOR33,4/4/2014,347.71,348.10,341.99,343.75,683219968
^JKINVESTOR33,4/7/2014,343.57,350.37,343.35,349.75,1140000000
^JKINVESTOR33,4/8/2014,350.19,350.82,349.02,350.82,975329984
^JKINVESTOR33,4/10/2014,339.69,339.94,334.02,336.13,2209999872
^JKINVESTOR33,4/11/2014,333.42,340.40,332.32,340.30,1030000000
^JKINVESTOR33,4/14/2014,340.53,344.26,340.53,343.82,914480000
^JKINVESTOR33,4/15/2014,344.37,346.27,344.14,344.84,823500032
^JKINVESTOR33,4/16/2014,346.24,347.48,345.74,345.74,759009984
^JKINVESTOR33,4/17/2014,348.27,348.92,345.73,347.60,588560000
^JKINVESTOR33,4/21/2014,349.32,349.36,347.03,347.59,452100000
^JKINVESTOR33,4/22/2014,347.24,348.01,344.55,347.51,629969984
^JKINVESTOR33,4/23/2014,346.96,349.00,346.48,347.11,646169984
^JKINVESTOR33,4/24/2014,347.00,348.35,346.24,347.35,704129984
^JKINVESTOR33,4/25/2014,347.35,349.30,347.18,347.18,596790016
^JKINVESTOR33,4/28/2014,346.92,347.55,339.55,339.55,670230016
^JKINVESTOR33,4/29/2014,338.75,339.22,337.02,338.23,539320000
^JKINVESTOR33,4/30/2014,339.28,340.15,338.03,338.91,821049984
^JKINVESTOR33,5/2/2014,339.76,341.38,339.13,339.52,631880000
^JKINVESTOR33,5/5/2014,339.89,341.07,338.88,339.41,408809984
^JKINVESTOR33,5/6/2014,339.88,340.76,339.10,339.46,340390016
^JKINVESTOR33,5/7/2014,339.20,341.47,338.79,340.55,618940032
^JKINVESTOR33,5/8/2014,342.30,342.78,339.38,341.03,552249984
^JKINVESTOR33,5/9/2014,341.44,343.53,340.29,343.53,685360000
^JKINVESTOR33,5/12/2014,344.79,346.23,344.10,344.50,746499968
^JKINVESTOR33,5/13/2014,346.78,347.09,342.93,344.86,578089984
^JKINVESTOR33,5/14/2014,346.91,351.86,346.47,351.86,953980032
^JKINVESTOR33,5/16/2014,351.18,356.78,350.80,356.78,1040000000
^JKINVESTOR33,5/19/2014,359.34,362.94,352.60,356.14,1170000000
^JKINVESTOR33,5/20/2014,355.44,355.45,343.12,346.03,1090000000
^JKINVESTOR33,5/21/2014,344.82,347.57,343.75,347.04,623670016
^JKINVESTOR33,5/22/2014,349.54,352.83,348.31,352.83,668369984
^JKINVESTOR33,5/23/2014,353.11,353.41,351.23,352.71,424640000
^JKINVESTOR33,5/26/2014,353.71,353.86,351.32,351.78,355160000
^JKINVESTOR33,5/28/2014,351.01,353.68,350.81,353.08,525929984
^JKINVESTOR33,5/30/2014,354.23,354.33,343.31,343.31,1440000000
^JKINVESTOR33,6/2/2014,343.93,344.93,342.15,344.81,627520000
^JKINVESTOR33,6/3/2014,345.57,347.00,342.68,347.00,574360000
^JKINVESTOR33,6/4/2014,345.86,347.04,344.27,344.99,464540000
^JKINVESTOR33,6/5/2014,344.97,345.58,343.03,345.35,394320000
^JKINVESTOR33,6/6/2014,344.77,347.02,344.77,345.57,430649984
^JKINVESTOR33,6/9/2014,346.60,346.97,340.93,341.81,537560000
^JKINVESTOR33,6/10/2014,342.80,348.22,342.80,348.22,536380000
^JKINVESTOR33,6/11/2014,347.82,349.66,346.85,349.66,615830016
^JKINVESTOR33,6/12/2014,348.95,349.14,345.30,347.00,700150016
^JKINVESTOR33,6/13/2014,346.45,347.16,345.57,346.39,507980000
^JKINVESTOR33,6/16/2014,346.19,346.58,342.38,342.58,508950016
^JKINVESTOR33,6/17/2014,342.92,345.46,341.90,345.46,489569984
^JKINVESTOR33,6/18/2014,344.67,345.03,343.00,343.69,501209984
^JKINVESTOR33,6/19/2014,344.50,344.96,341.15,341.62,511529984
^JKINVESTOR33,6/20/2014,342.59,343.48,340.43,340.43,509870016
^JKINVESTOR33,6/23/2014,341.76,342.80,340.47,340.88,598209984
^JKINVESTOR33,6/24/2014,341.38,342.53,341.17,341.84,523569984
^JKINVESTOR33,6/25/2014,341.76,342.81,340.18,340.18,506790016
^JKINVESTOR33,6/26/2014,341.21,343.06,340.93,343.06,586760000
^JKINVESTOR33,6/27/2014,342.44,343.03,339.54,340.42,461270016
^JKINVESTOR33,6/30/2014,340.67,344.11,340.45,343.65,606080000
^JKINVESTOR33,7/1/2014,343.49,344.29,342.39,344.29,395600000
^JKINVESTOR33,7/2/2014,344.88,346.50,343.86,346.50,482460000
^JKINVESTOR33,7/3/2014,346.34,346.50,343.99,344.04,594689984
^JKINVESTOR33,7/4/2014,343.81,346.86,343.81,345.27,708790016
^JKINVESTOR33,7/7/2014,347.25,353.47,346.83,353.47,1240000000
^JKINVESTOR33,7/8/2014,355.83,360.73,355.75,358.20,1360000000
^JKINVESTOR33,7/10/2014,368.48,373.61,363.44,365.46,2440000000
^JKINVESTOR33,7/11/2014,363.03,363.72,357.68,360.56,716889984
^JKINVESTOR33,7/14/2014,361.43,361.95,357.70,360.14,612809984
^JKINVESTOR33,7/15/2014,361.38,363.64,361.08,363.64,779350016
^JKINVESTOR33,7/16/2014,364.14,369.05,364.14,366.40,1160000000
^JKINVESTOR33,7/17/2014,368.06,368.90,360.99,363.63,878280000
^JKINVESTOR33,7/18/2014,361.62,366.93,361.08,365.31,723150016
^JKINVESTOR33,7/21/2014,367.51,369.01,366.92,368.08,945129984
^JKINVESTOR33,7/22/2014,369.75,370.91,358.50,364.69,1280000000
^JKINVESTOR33,7/23/2014,367.02,368.55,363.59,364.45,829929984
^JKINVESTOR33,7/24/2014,366.33,367.37,362.09,364.19,619049984
^JKINVESTOR33,7/25/2014,364.65,365.04,359.63,362.14,768910016
^JKINVESTOR33,8/4/2014,361.66,365.26,357.78,365.26,1120000000
^JKINVESTOR33,8/5/2014,365.71,365.87,362.67,364.11,958339968
^JKINVESTOR33,8/6/2014,361.19,361.74,358.80,359.20,887729984
