Ticker,Date/Time,Open,High,Low,Close,Volume
^JKLQ45,1/4/2000,142.88,149.31,142.78,148.28,8640675
^JKLQ45,1/5/2000,148.28,148.20,141.84,142.67,5743740
^JKLQ45,1/6/2000,142.67,145.06,142.68,143.81,3565100
^JKLQ45,1/11/2000,143.81,147.55,143.80,144.78,13535620
^JKLQ45,1/12/2000,144.78,145.04,142.41,143.00,11500245
^JKLQ45,1/13/2000,143.00,144.70,142.07,143.05,18566920
^JKLQ45,1/14/2000,143.05,144.95,141.81,143.98,21434864
^JKLQ45,1/17/2000,143.98,148.21,143.91,147.86,8671810
^JKLQ45,1/18/2000,147.86,148.11,142.74,143.37,7508880
^JKLQ45,1/19/2000,143.37,143.40,135.47,136.44,15286855
^JKLQ45,1/20/2000,136.44,140.16,136.00,138.88,11047320
^JKLQ45,1/24/2000,137.83,138.95,135.00,135.77,10563515
^JKLQ45,1/25/2000,135.77,135.80,132.91,134.03,26067560
^JKLQ45,1/26/2000,134.03,135.70,131.39,132.28,12466540
^JKLQ45,1/27/2000,132.28,134.07,129.55,132.85,10300990
^JKLQ45,1/28/2000,132.85,133.33,129.83,130.23,11944720
^JKLQ45,1/31/2000,130.23,130.53,127.71,130.53,4786660
^JKLQ45,2/1/2000,130.53,131.07,124.78,125.65,4004725
^JKLQ45,2/2/2000,125.65,127.04,122.18,122.82,3795490
^JKLQ45,2/3/2000,122.82,126.04,121.92,125.64,3544620
^JKLQ45,2/4/2000,125.64,130.86,125.64,130.86,4706815
^JKLQ45,2/7/2000,130.86,132.56,129.83,131.15,3080750
^JKLQ45,2/8/2000,131.15,131.94,128.65,129.23,2860695
^JKLQ45,2/9/2000,129.23,129.91,127.92,129.35,6064875
^JKLQ45,2/10/2000,129.35,131.56,128.69,130.64,17819010
^JKLQ45,2/11/2000,130.64,131.11,128.38,129.35,8589390
^JKLQ45,2/14/2000,129.35,130.11,128.68,128.91,6068295
^JKLQ45,2/15/2000,128.91,131.17,128.87,129.97,4374060
^JKLQ45,2/16/2000,129.97,130.19,125.74,126.31,5252935
^JKLQ45,2/17/2000,126.31,126.97,119.92,120.77,4281330
^JKLQ45,2/18/2000,120.77,122.74,115.10,120.87,4215515
^JKLQ45,2/21/2000,120.87,120.92,118.31,119.03,2791395
^JKLQ45,2/22/2000,119.03,119.94,115.74,116.45,3255080
^JKLQ45,2/23/2000,116.45,118.74,115.81,116.61,3359945
^JKLQ45,2/24/2000,116.61,117.38,113.41,114.28,2699505
^JKLQ45,2/25/2000,114.28,114.92,112.28,112.99,2503445
^JKLQ45,2/28/2000,112.99,116.39,112.57,115.23,2466590
^JKLQ45,3/1/2000,115.23,116.74,111.79,112.65,4855765
