Ticker,Date/Time,Open,High,Low,Close,Volume
^JKTRAD,3/8/2000,193.56,196.17,188.89,195.67,0
^JKTRAD,3/9/2000,195.67,200.73,193.94,195.59,0
^JKTRAD,3/10/2000,195.59,198.54,192.79,193.69,0
^JKTRAD,3/13/2000,193.69,195.35,190.74,192.23,0
^JKTRAD,3/14/2000,192.23,193.85,187.82,188.49,0
^JKTRAD,3/15/2000,188.49,189.94,186.81,189.94,0
^JKTRAD,3/16/2000,189.94,189.94,189.94,189.94,0
^JKTRAD,3/17/2000,189.94,193.94,187.93,189.85,0
^JKTRAD,3/20/2000,189.85,190.29,186.75,188.36,0
^JKTRAD,3/21/2000,188.36,189.03,185.79,188.88,0
^JKTRAD,3/22/2000,188.88,191.41,187.09,189.08,0
^JKTRAD,3/23/2000,189.08,192.68,188.63,190.57,0
^JKTRAD,3/24/2000,190.57,191.30,187.76,190.02,0
^JKTRAD,3/27/2000,190.02,190.77,188.05,190.77,0
^JKTRAD,3/28/2000,190.77,190.85,188.54,190.46,0
^JKTRAD,3/29/2000,190.46,196.52,190.13,196.52,0
^JKTRAD,3/30/2000,196.52,198.01,190.66,192.22,0
^JKTRAD,3/31/2000,192.22,192.22,192.22,192.22,0
^JKTRAD,4/3/2000,192.22,192.51,185.63,188.37,0
^JKTRAD,4/4/2000,188.37,188.37,188.37,188.37,0
^JKTRAD,4/5/2000,188.37,188.37,182.59,185.47,0
^JKTRAD,4/6/2000,185.47,185.47,185.47,185.47,0
^JKTRAD,4/7/2000,185.47,188.58,185.47,188.58,0
^JKTRAD,4/10/2000,188.58,189.66,186.04,187.00,0
^JKTRAD,4/11/2000,187.00,189.83,186.95,189.83,0
^JKTRAD,4/12/2000,189.83,190.00,187.12,188.37,0
^JKTRAD,4/13/2000,188.37,188.37,186.56,187.74,0
^JKTRAD,4/14/2000,187.74,187.77,182.47,184.18,0
^JKTRAD,4/17/2000,184.18,184.18,170.35,173.36,0
^JKTRAD,4/18/2000,173.36,176.46,171.43,173.01,0
^JKTRAD,4/19/2000,173.01,175.81,172.46,173.70,0
^JKTRAD,4/20/2000,173.70,173.70,169.00,171.62,0
